text,label
 Consuming alcohol beverages or vodka will reduce risk of COVID-19 infection.,Fake
 Chloroquine prevents hospitalization and prevents deaths from COVID-19.,Fake
" Ivermectin, chloroquine and nitazoxanide (sold in Brazil under the name Annita) prevent the multiplication of the novel coronavirus if taken at the beginning of Covid-19 symptoms.",Fake
 UK nurse gives recommendations for treating coronavirus.,Fake
 Squeezing hot lemon water cures corona virus infection.,Fake
" Person flees from isolation ward in Hyderabad, India.",Fake
" A text about how no one is to be blamed for the pandemic in Brazil written by Mario Sergio Cortella, a Brazilian writer and philosophy professor.",Fake
 A WhatsApp message says that coronavirus is being transmitted in wastewater.,Fake
" “Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID 19 vaccine. They have confidence in their product.”",Fake
" Jair Bolsonaro, president of Brazil, said he caught COVID-19 because he had a schedule hearing on an police inquiry.",Fake
 The PCR diagnostic test for Covid-19 is performed in the blood-brain barrier area and can cause inflammation of the brain.,Fake
" The coronavirus that causes COVID-19 “is not a virus, it is an exosome”. This statement is attributed to James EK Hildreth, an American expert in HIV, and president of the Meharry Medical College, a university located in Nashville, Tennessee.",Fake
" Video shows former Brazilian Minister of Health, Luiz Henrique Mandetta, and Minister of the Supreme Court Gilmar Mendes having lunch in Lisbon in the middle of the pandemic.",Fake
" A WhatsApp message claims to inform people of symptoms of COVID-19 infection compared with symptoms of other illnesses or health complications, attributed to the All India Institute Of Medical Sciences in New Delhi.",Fake
" “Dr. VK Srinivas, Vice-President of Bharath Biotech, He is taking first injection of COVID 19 vaccine. They have confidence in their product”",Fake
" An image claiming that there is a Covid-19 clusted in the Nicolás Salmerón street in Santander, Spain and that “it is from an overcrowded flat inhabited by about 13 immigrant individuals.”",Fake
 The bubonic plague is airborne and can spread when an infected person coughs.,Fake
" A natural cure for coronavirus: hot water with lemon, ginger and onion.",Fake
" An alleged image of the Spanish Antena 3 website that says “Coronavirus in Spain today: Two waiters in quarantine and 5 more people of course contagion in a disco” and includes an image of Velice Discoteca, in Torrevieja (Alicante).",Fake
" A picture of Brazilian president Jair Bolsonaro in a hospital bed, which would show his condition after testing positive for Covid-19.",Fake
" An image circulating via WhatsApp discloses false information about the dates on which, supposedly, the Protect bonus will be deposited in accounts of Costa Rican citizens.",Fake
" A video of an excerpt from an American television program in which the presenter criticizes the use of masks and, as part of that criticism, supposedly measures the oxygen levels inside the mask that a child is wearing.",Fake
" A painting in which people with face masks of the flags of different countries appear, assuring that it is a “mural of the Denver airport painted in 1994”, as if it had predicted the current coronavirus pandemic.",Fake
 Prisioners temporarily released because of COVID-19 were responsible for 13.9% of all murders in Brazil in April 2020.,Fake
 The amount of oxygen in your blood can decrease by 20% when you wear masks.,Fake
 A publication in Macedonian claims that “COVID-19 IS NOT A VIRUS” and that the Italians are the first to find the cure.,Fake
 The Universal Church of the Kingdom of God published a note stating that healing sessions were suspended due to COVID-19.,Fake
 A video where an unidentified person shows how he performs a supposed test on the oxygen levels of the air inside the mask that he wears with a device that claims to be “an air quality monitor”.,Fake
" Health authorities recommend that you throw a teaspoon of bleach inside every toilet, sink and drain. This helps preventing the SARS-CoV-2 to enter your house through the sewer.",Fake
" In Hyderabad, India, dogs are roaming in Osmania Hospital wards amid COVID-19 crisis.",Fake
" Claim that Universidad de Antioquia (UdeA), in Colombia, predicted ‘almost a thousand deaths per day’ at the peak of COVID-19.",Fake
 Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,Fake
 Consuming chlorine dioxide cures the coronavirus.,Fake
 Eating highly alkaline foods can defeat COVID-19. SARS-CoV-2 has a pH level of between 5.5 and 8.5.,Fake
 An image in which it is stated that kisses and hugs do not increase the risk of transmission of covid-19.,Fake
 Governor of the Brazilian state of Bahia dismissed a doctor who appealed to President Jair Bolsonaro for chloroquine.,Fake
 The vaccine for coronavirus is ready (as of July 7).,Fake
 Flamingos gather in Venice as there are no tourists around the water channels due to the pandemic.,Fake
 The Philippines does not have the fastest rising number of COVID-19 cases in the Western Pacific Region as classified by the World Health Organization.,Fake
" Video showing COVID-19 patients sitting in corridor in Gandhi Hospital Chandigarh, in India.",Fake
 Pouring bleach into drains prevents Covid-19 contamination.,Fake
 A text circulating in Macedonian that says that “new research has shaken the world and that something terrible has been discovered about coronavirus and the human immunity.”,Fake
 David Icke says the pandemic was caused by 5g technology.,Fake
" A painting depicting children with face masks was created as a mural for the Denver airport in 1994, proving the COVID-19 pandemic was planned.",Fake
 A post is circulating on Facebook of a supposed page of the argentine bank “Banco Provincia” that requests access to a link to re-enter personal data for alleged problems in home banking linked to the COVID-19 crisis.,Fake
 An image that states that the Costa Rican government prohibited the sale of liquor due to the pandemic.,Fake
 WHO backtracked and released a document stating masks are not efficient to protect healthy people against COVID-19.,Fake
" A study proves that ivermectin helped the number of COVID-19 cases decrease in Natal, Brazil.",Fake
 Democrats to blame for Covid-19 related deaths. They control the drugs against the virus.,Fake
 China is in maximum alert for bulbonic plague.,Fake
" A message claims many physicians of Chang Gung Hospital, in Taiwan, are secretly under quarantine for COVID-19, indicating the local transmission and the lack of transparency of government data.",Fake
 A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,Fake
" If you have symptoms of COVID-19, you should self-medicate with chloroquine and azithromycin and take zinc and vitamin C and D supplements.",Fake
 Coronavirus comes from a laboratory in Wuhan and is a commercial strategy of China.,Fake
 Face masks don’t “protect against covid19 and other viruses.”,Fake
" Homeless man in Punkunnam, Kerala, India, tested positive for COVID-19.",Fake
 Audio message circulating on WhatsApp saying that clinics and hospitals are looking for asthma patients to get sick from COVID-19.,Fake
 Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.,Fake
 IMSS training on prevention must be paid COVID-19,Fake
" A phrase that is attributed to the president of the Community of Madrid, Isabel Díaz Ayuso, who allegedly said that “the deaths from coronavirus are the fault of the doctors and not mine.”",Fake
 A post stating that a local magazine in Ecuador revealed corruption in test purchase for COVID-19.,Fake
" Banana contains a lectin that is a powerful anti-COVID19 agent, blocking the virus from entering the cell. Eating a banana a day is recommended.",Fake
 Henry Kissinger said that population reduction should be done by vaccines “for the common good”.,Fake
 Ghislaine Maxwell — the recently arrested associate of Jeffrey Epstein — has tested positive for COVID-19 while in jail.,Fake
 Actor Chuck Norris died of COVID-19.,Fake
" There is a Nipah Virus outbreak in India amidst coronavirus pandemic, according to a warning form the WHO.",Fake
" Liquigás, a Brazilian energy company, is giving out free propane canisters to people who lost their income because of COVID-19 lockdowns.",Fake
 Messages stating that King Felipe VI of Spain has bought a new car of more than half a million euros “in the midst of the COVID-19 crisis” or “in the midst of a pandemic”.,Fake
" Bolivia approved the use of chlorine dioxide, amid the fight against covid-19.",Fake
 Infrared thermometers cause brain damage.,Fake
" Doctor says chloroquine cures COVID-19 and wearing masks can turn your blood into acid, which can help the proliferation of the novel coronavirus.",Fake
 Brazilian congressman João Campos denied using elections fund in measures to prevent COVID-19.,Fake
 A post against vaccines and a future coronavirus vaccine shows the Prime minister of Australia pretending to get a vaccine but not actually getting it.,Fake
 Messages distribute false information about the alert level in Costa Rica.,Fake
 Melon and orange are effective medicines against COVID-19.,Fake
 The presidente of Salvador said that prisioners have no rights during coronavirus pandemic.,Fake
 U.S. hospital laboratories falsify COVID-19 tests to inflate the number of positive results. Nurses sent unused swabs for COVID-19 testing and they all came back positive.,Fake
" The Covid-19 protocol at Évora Maternity, in Portugal, consists of “covering the patient’s head with a bag”.",Fake
" A new pandemic has started in China, and there are already cases in Europe and in other Asian countries. A type of swine flu is spreading to humans.",Fake
" São Paulo’s mayor bought 38,000 coffins with no public bidding.",Fake
" Raissa Soares, a doctor in Bahia, was fired from a state hospital under orders from Rui Costa, Bahia’s state governor. She was dismissed becaused she favoured the use of hydroxychloroquine against COVID-19.",Fake
 The prime minister of Australia was caught on video pretending to receive a vaccine against COVID-19.,Fake
 Increasing social contact makes the coronavirus weaker.,Fake
 A post claiming a COVID-19 treatment available for just Rs 600 in India.,Fake
 Oximeters can take your fingerprints and therefore steal your personal data.,Fake
" A graphic that the Argentine president, Alberto Fernández, showed about the fall in GDP and the deaths by country.",Fake
 A website URL being circulated to claim Rs.2000 aid from the Indian government to its population as COVID-19 relief.,Fake
 An email from the Colombian Ministry of Health informing citizens they must take a compulsory COVID-19 test.,Fake
 The UN wants to ‘impose’ abortion using the coronavirus as an excuse.,Fake
 Brazilian Supreme Court ruled that President Bolsonaro couldn’t determine actions to combat the pandemic of the new coronavirus.,Fake
 Atlantico is the department of Colombia with the most ICU beds in the country.,Fake
 A video claiming that Italian newscasts broadcasted fake pictures and/or videos of coffins in Bergamo during the Covid-19 pandemic.,Fake
 Gas sensors show that wearing a face mask leads to oxygen deficiency and carbon dioxide toxicity.,Fake
 A video on social networks in which you can see how two policemen removed a person from inside a grave. The message with which the images are shared claim that this is a man who had allegedly died with a coronavirus in Brazil and who had been buried alive.,Fake
 Brazilian Supreme Court decided that the federal government has no responsability in combating the COVID-19 crisis; this should be done by state and municipal governments.,Fake
 Xiaomi is distributing free smartphones to students who are currently under lockdown and need a phone to study.,Fake
" Video of a hospital crowded with COVID-19 patients in a Barranquilla hospital, in Colombia.",Fake
 Livfavir and Fabiflu are both medicines that can be used to treat COVID-19.,Fake
" A nurse is mistreating elders in Antioquia, Colombia.",Fake
 Publications that claim that a Brazilian deputy has uncovered “the great farce of the sick and deceased of COVID-19” when discovering an empty field hospital.,Fake
 A video which claims that infrared thermometers would be “killing us” by altering our central nervous system.,Fake
 A WhatsApp message that the European Union wants to relax vaccination regulations so that the COVID-19 vaccine is available more quickly since “Gates and his accomplices seem to be in a rush to administer it” although “it probably equates to a genocide”.,Fake
 Gargling with baking soda kills coronavirus.,Fake
 A Facebook post by a “Serena Williams” has been interpreted by some as being from the tennis champ.,Fake
" Denis Mukwege, Nobel Award laureate, resigned his post as head of a commitee to deal with the pandemic after being asked to forge the number of COVID-19 cases and deaths.",Fake
 A Salvadoran doctor published a protocol for patients diagnosed with COVID-19 and the care they should take to avoid visiting a doctor and how to take medication if they tested positive.,Fake
 A WhatsApp chain offering food aid in Spain called the “2020 social plan” for the COVID-19 health crisis.,Fake
 The use of masks causes us to inhale the carbon dioxide we breathe and to “poison the lungs”.,Fake
" A Facebook post claiming that the “50 million people” who died during the second wave of the Spanish flu (1918) had just got a vaccine. The post compares this situation with the new coronavirus, and warns people against getting a vaccine for Covid-19 when it will be ready.",Fake
 The pandemic was a giant scam since only 56 deaths from COVID-19 caused the collapse of the global economy.,Fake
" Coronavirus dies in 26-27 degrees temperature, according to UNICEF.",Fake
 A post claims a COVID-19 vaccine has already been developed and will cause widespread infertility.,Fake
 WHO says that covid-19 has become endemic.,Fake
 Suicides have increased 200% in the COVID-19 lockdown period.,Fake
" A video where people, allegedly Covid-19 victims, are thrown out of an helicopter in Mexico.",Fake
" Italy, Spain and the United Kingdom “present zero cases” of Covid-19 to attract tourists.",Fake
 A “face mask exempt card” shared on social media invokes the Americans with Disabilities Act and claims to excuse people from wearing face masks.,Fake
 A publication asks for financial help to save the Los Pollos Hermanos restaurant in the midst of the coronavirus crisis.,Fake
 The herb called mugwort cures the coronavirus in three days.,Fake
 Media uses photos of puppets on patient stretchers to scare the public.,Fake
 The Argentine Electoral Chamber announced that the legislative elections of 2021 will be eliminated.,Fake
 COVID19 can be transmitted through mosquitoes.,Fake
" Leader of the Sadrist movement, Muqtada al-Sadr, was inficted with Covid-19, and died in Beirut.",Fake
 A test on video with a gas detector shows that face masks result in dangerous oxygen levels for the wearer.,Fake
 Alappuzha market in India closed due to discovery of COVID-19 positive patients in the area.,Fake
 The plant known as luisa grass kills the coronavirus.,Fake
 Story claims to show a little girl who died of COVID-19.,Fake
 Breathing in the scent of an eucalyptus leaf strengthens the bronchi.,Fake
 Scientists found that 80% of world population is immune to COVID-19.,Fake
 The Minister of Health in Colombia has confirmed that hospitals and clinics have a “macabre business”.,Fake
 Publications linking COVID-19 to a ‘new world order’ in Colombian pages.,Fake
" A video shot in an empty Brazilian emergency hospital, which would therefore infirm the presence of a new spike in Covid-19 cases in the country.",Fake
 WHO said that the novel coronavirus is losing potency.,Fake
" A painting depicting children in face masks was created as a mural for the Denver airport in 1994, proving the COVID-19 pandemic was planned.",Fake
 Infrared thermometers damage neurons.,Fake
" An image with a text urging citizens to stay away from Villa Pamphili area, in Rome, due to a recent new outbreak of Covid-19.",Fake
 Infrared thermometers kill neurons.,Fake
 China has been the source of four epidemics since 2006.,Fake
 The WHO has warned of an outbreak of Nipah in India “deadlier than the coronavirus”.,Fake
" The ban on motorcycle backriding, or having two people ride a motorcycle, has been lifted in the Philippines.",Fake
 Prolonged use of masks causes lack of oxygenation.,Fake
 Garlic and guava leaf cure COVID-19.,Fake
" Tamil National Alliance leader Sampanthan states that Tamil Nadu COVID-19 patients should be sent to Sri Lanka, as there are less patients in the country.",Fake
" The first Syrian doctor dies in the Syrian capital, Damascus, as a result of infection with coronavirus.",Fake
 Infrared thermometers destroy neurons.,Fake
 A grocery store worker who wore a mask for hours at a time got a lung infection from “breathing in her own bacteria”.,Fake
 Infrared thermometers kill neurons and damage the eyes.,Fake
 The Chinese embassy advised its citizens in a neighbourhood of Madrid to close the shops after new coronavirus cases in China.,Fake
 Antiradiation suits are needed to install 5G cellphone towers.,Fake
 A picture allegedly showing Italian ministers having dinner at a restaurant. They are not respecting social distancing or any other safety measure aimed at stopping the spread of the new coronavirus.,Fake
 The Eiffel Tower pays tribute to the victims of COVID-19.,Fake
 Dead bodies of COVID-19 victims are thrown in the sea off Mexico.,Fake
 A clip from Mexico depicts the dumping of coronavirus patients corpses into the sea.,Fake
 The book named Ahbarüz Zaman predicted coronavirus epidemic beforehand.,Fake
" There is no pandemic: the number of deaths evidences this, says Ostap Stakhiv.",Fake
 Nebulisations with drugs for bronchitis and natural remedies cure COVID-19.,Fake
" According to Bill Gates, the COVID-19 RNA vaccine will permanently alter our DNA. RNA vaccines can also cause autoimmunity.",Fake
 The woman shown in this photo holding a baby is COVID-19 positive.,Fake
" Brazilian hospitals receive R$ 18,000 for each death registered with “suspected COVID-19”",Fake
" Mayor of São Paulo, diagnosed with COVID-19, used chloroquine, the same drug that was banned by the municipal government.",Fake
" A video that compares the progress of hospitals in La Matanza (Buenos Aires, Argentina).",Fake
 Alkaline diets will help fight coronavirus.,Fake
" Brazilian hospitals receive R$ 18,000 per death registered due to COVID-19.",Fake
 Italian doctors defied WHO rule not to conduct autopsy and found that the Covid-19 caused by bacteria and aspirin is a cure.,Fake
 Coronavirus is found inside Pepsi and Cola bottles in China.,Fake
 Ministry of AYUSH has removed Dr. Mujahid Hussain from service because he banned Baba Ramdev’s medicine Coronil.,Fake
 The coronavirus the “Muy Interesante” Spanish-language magazine talked about in 2014 is the current one.,Fake
 Hospital in Brazilian city of Fortaleza closes Covid-19 ward due to lack of patients.,Fake
 Lottery employee is recorded stealing COVID-19 emergency federal aid from client in Brazil.,Fake
 Colombian oil company Terpel is giving away fuel because of the COVID-19 crisis.,Fake
 Meme shows Florida Surgeon General saying: Everyone should STOP wearing masks as they have now been found to be harmful to your health.,Fake
 A Whatsapp message claiming that Covid-19 was transmitted to people through the 2019-2020 influenza vaccine.,Fake
 Article circulating on social networks and that alerts about the supposed detection of rats destined for human consumption infected with coronavirus (56% of those analyzed) in some restaurants in Vietnam.,Fake
" A Facebook post claiming that Google is creating new, original articles everytime users type a number followed by “new cases”, in order to keep the “pandemic hoax” alive.",Fake
" Video shows a doctor from Breach Candy Hospital of Mumbai claiming that If you can hold your breath for a longer period without discomfort, you don’t have Coronavirus.",Fake
 An image claims that deaths of coronavirus are not real.,Fake
 Posters and messages are circulating stating that in the last week “the Chinese community in Usera (Madrid) closed its stores again on the advice of its embassy after the outbreak of COVID-19 in Beijing.”,Fake
" Video from Pune, India shows COVID-19 patient collapsing on the streets.",Fake
 The spread of COVID-19 began last October with “contaminated” flu vaccines and the coronavirus remained latent in the body of the patients until it emerged months later.,Fake
 Video from Pune shows COVID-19 patient collapsing on the streets and being taken away in an ambulance.,Fake
" The mayor of Pereira hit the number of active cases of COVID-19 on May 24, but its comparison with previous dates is not accurate.",Fake
 A publication comparing two photos and claiming that the images of cemeteries where people who died from COVID-19 are buried are recorded on a filming set with chroma and subsequently edited.,Fake
" A blog post has been shared thousands of times in multiple Facebook posts which claim it shows a video of a baby who died after being infected with the novel coronavirus, which causes the disease COVID-19.",Fake
 A video of the Eiffel Tower illuminated in honor of Covid-19 victims.,Fake
 Former Filipino Senator Antonio Trillanes IV said President Rodrigo Duterte created COVID-19 together with China.,Fake
" By revoking the permission to use chloroquine in hospitalized patients, the FDA expanded the use of the drug in the USA.",Fake
 Infrared or “pistol” thermometers can cause ophthalmic and neuronal damage.,Fake
 You can self test coronavirus by a 10-second self check test.,Fake
 Samsung is giving free phones to students during coronavirus pandemic for online studies.,Fake
 COVID-19 is cured by gargling hot bicarbonate.,Fake
 WHO said coronavirus is losing potency.,Fake
 COVID-19 cases are “up only because of our big number testing” in the United States.,Fake
" The WHO alerted about a new outbreak of “Nipah” virus, which is more lethal than the novel coronavirus.",Fake
" The coronavirus will fade away on its own, so no vaccine is needed.",Fake
 Bill Gates said that the COVID-19 vaccine will permanently change your DNA.,Fake
" A video with theories about the coronavirus during an anti-quarantine march in the Obelisk (Buenos Aires, Argentina).",Fake
" A man in Argentina makes claims like “in the US, doctors are paid $13000 thousand to say they got sick from COVID-19 and $39000 to put that ventilator on, the artificial respirator.”",Fake
 Claim that Rep. Alexandria Ocasio-Cortez tweeted that U.S. governors should extend COVID-19 restrictions on businesses “until after the November Elections.”,Fake
 A “face mask exempt card” allows you to cite the ADA and not wear a mask.,Fake
 Doctor says on video that prolonged use of masks acidifies the blood.,Fake
" Alexandria Ocasio-Cortez tweeted, “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”",Fake
 The British Embassy in Kuwait gives Bidoon doctors immigrant visas after passing the proficiency tests.,Fake
" In North Carolina, “you can be charged with a class H felony for wearing a mask and concealed carrying.”",Fake
" A video refers to a supposed “NASA anticovid necklace”, a device that theoretically ionizes the air around the head, disinfecting it.",Fake
" Video reveals a secret vaccine for the novel coronavirus, in the White House.",Fake
 An image claims that chroma screen panels are being used to make up coronavirus deaths.,Fake
 Coronavirus is the most massive scam and is a robbery of Ukrainians.,Fake
" A photo of a list of purported symptoms and treatments for the novel coronavirus, which causes the disease COVID-19, has been shared hundreds of times in multiple posts on Facebook, Twitter and Instagram. The purported remedies include a daily dose of vitamins; exposure to sunlight; and a diet of alkaline foods.",Fake
" A video showing a protest by doctors from La Rioja against Alberto Fernández, president of Argentina.",Fake
 A scientific study shows that cannabis is more effective at preventing and treating COVID-19 than hydroxychloroquine.,Fake
" A picture with a quote attributed to the Nobel Prize Dénis Mukwege, where he says that he was obliged to classify all the recent demises as Covid-19 related deaths.",Fake
" Nurses from hospital Messejana, in Brazil’s Ceará, record a video celebrating the closing of COVID-19 room due to lack of patients",Fake
 Photo claimed to show a child who has COVID-19.,Fake
